N	Seq1	Seq2	Seq3	Seq4
2851	2404 | SA150_2404 | . | Gluconokinase (EC 2.7.1.12) | rev | [2548800..2550353]	2356 | SA597_2356 | . | Gluconokinase (EC 2.7.1.12) | rev | [2504974..2506527]	2571 | K8B78_13260 | gntK | gluconokinase | rev | [2652241..2653794]	2260 | HMPRNC0000_2772 | gntK | Gluconokinase | rev | [2556907..2558460]
2852	2405 | SA150_2405 | . | Gluconate operon transcriptional repressor | rev | [2550377..2551057]	2357 | SA597_2357 | . | Gluconate operon transcriptional repressor | rev | [2506551..2507228]	2572 | K8B78_13265 | . | GntR family transcriptional regulator | rev | [2653819..2654499]	2261 | HMPRNC0000_2773 | gntR | Gluconate operon transcriptional repressor | rev | [2558484..2559164]
2853	2406 | SA150_2406 | . | Transcriptional regulator, MerR family | rev | [2551211..2551975]	2358 | SA597_2358 | . | Transcriptional regulator, MerR family | rev | [2507385..2508149]	2573 | K8B78_13270 | . | MerR family transcriptional regulator | rev | [2654686..2655417]	2262 | HMPRNC0000_2774 | . | Transcriptional regulator, MerR family | rev | [2559318..2560082]
2854	2407 | SA150_2407 | . | GTP pyrophosphokinase (EC 2.7.6.5) | rev | [2552140..2552832]	2359 | SA597_2359 | . | GTP pyrophosphokinase (EC 2.7.6.5) | rev | [2508314..2509006]	2574 | K8B78_13275 | . | GTP pyrophosphokinase family protein | rev | [2655582..2656274]	2263 | HMPRNC0000_2775 | . | GTP pyrophosphokinase | rev | [2560247..2560939]
2855	2408 | SA150_2408 | . | hypothetical protein | rev | [2553063..2553479]	2360 | SA597_2360 | . | hypothetical protein | rev | [2509237..2509653]	2575 | K8B78_13280 | . | DUF2188 domain-containing protein | rev | [2656505..2656921]	2264 | HMPRNC0000_2776 | . | hypothetical protein | rev | [2561170..2561586]
2857	2409 | SA150_2409 | . | Uncharacterized membrane protein YvaC | rev | [2553618..2555441]	2361 | SA597_2361 | . | Uncharacterized membrane protein YvaC | rev | [2509792..2511615]	2576 | K8B78_13285 | . | FUSC family protein | rev | [2657060..2658883]	2265 | HMPRNC0000_2777 | . | membrane protein YvaC | rev | [2561713..2563668]
2858	2410 | SA150_2410 | . | Uncharacterized MFS-type transporter | rev | [2555918..2557195]	2363 | SA597_2363 | . | Uncharacterized MFS-type transporter | rev | [2512527..2513804]	2577 | K8B78_13290 | . | MFS transporter | rev | [2659360..2660637]	2266 | HMPRNC0000_2778 | . | MFS-type transporter | rev | [2564445..2565722]
2860	2411 | SA150_2411 | . | Alkaline phosphatase like protein | dir | [2557742..2558353]	2364 | SA597_2364 | . | Alkaline phosphatase like protein | dir | [2514351..2514962]	2578 | K8B78_13295 | . | DedA family protein | dir | [2661188..2661799]	2267 | HMPRNC0000_2780 | . | Alkaline phosphatase like protein | dir | [2566269..2566880]
2861	2412 | SA150_2412 | . | Efflux ABC transporter, ATP-binding protein | dir | [2558871..2559566]	2365 | SA597_2365 | . | Efflux ABC transporter, ATP-binding protein | dir | [2515480..2516175]	2582 | K8B78_13315 | . | ATP-binding cassette domain-containing protein | dir | [2665821..2666516]	2270 | HMPRNC0000_2786 | . | Efflux ABC transporter, ATP-binding protein | dir | [2569031..2569726]
2862	2413 | SA150_2413 | . | Putative membrane-spanning protein | dir | [2559568..2560338]	2366 | SA597_2366 | . | Putative membrane-spanning protein | dir | [2516177..2516947]	2583 | K8B78_13320 | . | ABC transporter permease | dir | [2666518..2667288]	2271 | HMPRNC0000_2787 | . | Putative membrane-spanning protein | dir | [2569728..2570498]
2863	2414 | SA150_2414 | . | Fructose-1,6-bisphosphatase, Bacillus type (EC 3.1.3.11) | dir | [2560712..2562676]	2367 | SA597_2367 | . | Fructose-1,6-bisphosphatase, Bacillus type (EC 3.1.3.11) | dir | [2517451..2519415]	2584 | K8B78_13325 | . | fructose-1,6-bisphosphatase | dir | [2667793..2669757]	2272 | HMPRNC0000_2788 | fbp | Fructose-1,6-bisphosphatase | dir | [2570872..2572836]
2864	2415 | SA150_2415 | . | putative membrane protein | dir | [2563017..2564096]	2368 | SA597_2368 | . | putative membrane protein | dir | [2519759..2520838]	2585 | K8B78_13330 | . | hypothetical protein | dir | [2670101..2671180]	2273 | HMPRNC0000_2790 | . | putative membrane protein | dir | [2573180..2574259]
2865	2416 | SA150_2416 | . | Phospholipase/carboxylesterase | rev | [2564201..2564794]	2369 | SA597_2369 | . | Phospholipase/carboxylesterase | rev | [2520943..2521536]	2586 | K8B78_13335 | . | alpha/beta hydrolase | rev | [2671285..2671878]	2274 | HMPRNC0000_2791 | . | Phospholipase/carboxylesterase | rev | [2574364..2574972]
2866	2417 | SA150_2417 | . | Glyoxalase family protein | rev | [2564816..2565784]	2370 | SA597_2370 | . | Glyoxalase family protein | rev | [2521558..2522526]	2587 | K8B78_13340 | . | ring-cleaving dioxygenase | rev | [2671900..2672868]	2275 | HMPRNC0000_2792 | . | Glyoxalase family protein | rev | [2574978..2575946]
2867	2418 | SA150_2418 | . | Transcriptional regulator, MarR family | rev | [2565861..2566295]	2371 | SA597_2371 | . | Transcriptional regulator, MarR family | rev | [2522604..2523038]	2588 | K8B78_13345 | . | MarR family transcriptional regulator | rev | [2672946..2673380]	2276 | HMPRNC0000_2793 | . | Transcriptional regulator, MarR family | rev | [2576024..2576458]
2869	2419 | SA150_2419 | . | Acetyltransferase, GNAT family | dir | [2566523..2566807]	2372 | SA597_2372 | . | Acetyltransferase, GNAT family | dir | [2523264..2523548]	2589 | K8B78_13350 | . | N-acetyltransferase | dir | [2673606..2673890]	2277 | HMPRNC0000_2794 | . | Acetyltransferase, GNAT family | dir | [2576685..2576969]
2870	2420 | SA150_2420 | . | Glyoxalase family protein | dir | [2566978..2567784]	2373 | SA597_2373 | . | Glyoxalase family protein | dir | [2523723..2524529]	2590 | K8B78_13355 | . | VOC family protein | dir | [2674065..2674871]	2278 | HMPRNC0000_2795 | . | Glyoxalase family protein | dir | [2577140..2577946]
2871	2421 | SA150_2421 | . | Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-) / Dihydropteridine reductase (EC 1.5.1.34) | rev | [2567904..2568575]	2374 | SA597_2374 | . | Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-) / Dihydropteridine reductase (EC 1.5.1.34) | rev | [2524649..2525320]	2591 | K8B78_13360 | . | NAD(P)H-dependent oxidoreductase | rev | [2674992..2675663]	2279 | HMPRNC0000_2797 | frp | Oxygen-insensitive NAD(P)H nitroreductase / Dihydropteridine reductase | rev | [2578066..2578737]
2873	2422 | SA150_2422 | . | D-lactate dehydrogenase (EC 1.1.1.28) | dir | [2568845..2569837]	2375 | SA597_2375 | . | D-lactate dehydrogenase (EC 1.1.1.28) | dir | [2525590..2526582]	2592 | K8B78_13365 | . | D-lactate dehydrogenase | dir | [2675933..2676925]	2280 | HMPRNC0000_2798 | pdxB | D-lactate dehydrogenase | dir | [2579007..2579999]
2874	2423 | SA150_2423 | . | Hydrolase, HAD superfamily | rev | [2570086..2570886]	2376 | SA597_2376 | . | Hydrolase, HAD superfamily | rev | [2526825..2527628]	2594 | K8B78_13375 | . | Cof-type HAD-IIB family hydrolase | rev | [2678024..2678824]	2281 | HMPRNC0000_2800 | supH | Hydrolase, HAD superfamily | rev | [2580248..2581048]
2877	2426 | SA150_2426 | . | LPXTG specific sortase A | rev | [2572741..2573361]	2379 | SA597_2379 | . | LPXTG specific sortase A | rev | [2529483..2530103]	2595 | K8B78_13380 | srtA | class A sortase SrtA | rev | [2679054..2679674]	2284 | HMPRNC0000_2804 | srtA | LPXTG specific sortase A | rev | [2582903..2583523]
2878	2427 | SA150_2427 | . | Acetyltransferase, GNAT family | dir | [2573555..2574046]	2380 | SA597_2380 | . | Acetyltransferase, GNAT family | dir | [2530297..2530788]	2596 | K8B78_13385 | . | GNAT family N-acetyltransferase | dir | [2679868..2680359]	2285 | HMPRNC0000_2806 | pat | Acetyltransferase, GNAT family | dir | [2583717..2584208]
2880	2429 | SA150_2429 | . | L-serine dehydratase, alpha subunit (EC 4.3.1.17) | rev | [2574889..2575788]	2382 | SA597_2382 | . | L-serine dehydratase, alpha subunit (EC 4.3.1.17) | rev | [2531286..2532185]	2599 | K8B78_13400 | sdaAA | L-serine ammonia-lyase, iron-sulfur-dependent, subunit alpha | rev | [2681158..2682057]	2286 | HMPRNC0000_2807 | sdaAA | L-serine dehydratase, alpha subunit | rev | [2585123..2586022]
2881	2430 | SA150_2430 | . | L-serine dehydratase, beta subunit (EC 4.3.1.17) | rev | [2575802..2576482]	2383 | SA597_2383 | . | L-serine dehydratase, beta subunit (EC 4.3.1.17) | rev | [2532199..2532879]	2600 | K8B78_13405 | sdaAB | L-serine ammonia-lyase, iron-sulfur-dependent subunit beta | rev | [2682071..2682751]	2287 | HMPRNC0000_2808 | sdaAB | L-serine dehydratase, beta subunit | rev | [2586036..2586716]
2882	2431 | SA150_2431 | . | Transcriptional regulator pfoR | rev | [2576485..2577528]	2384 | SA597_2384 | . | Transcriptional regulator pfoR | rev | [2532882..2533925]	2601 | K8B78_13410 | . | PTS fructose transporter subunit IIC | rev | [2682754..2683797]	2288 | HMPRNC0000_2809 | . | Transcriptional regulator pfoR | rev | [2586719..2587762]
2884	2432 | SA150_2432 | . | hypothetical protein | dir | [2578078..2578281]	2385 | SA597_2385 | . | hypothetical protein | dir | [2534475..2534678]	2602 | K8B78_13415 | . | hypothetical protein | dir | [2684347..2684550]	2289 | HMPRNC0000_2810 | . | hypothetical protein | dir | [2588313..2588516]
2885	2433 | SA150_2433 | . | hypothetical protein | dir | [2578437..2579399]	2386 | SA597_2386 | . | hypothetical protein | dir | [2534834..2535796]	2603 | K8B78_13420 | . | DMT family transporter | dir | [2684734..2685669]	2290 | HMPRNC0000_2811 | . | hypothetical protein | dir | [2588672..2589634]
2886	2434 | SA150_2434 | . | Esterase/lipase | rev | [2579480..2580448]	2387 | SA597_2387 | . | Esterase/lipase | rev | [2535878..2536846]	2604 | K8B78_13425 | . | alpha/beta hydrolase | rev | [2685750..2686718]	2291 | HMPRNC0000_2812 | . | Esterase/lipase | rev | [2589715..2590683]
2887	2435 | SA150_2435 | . | Thioredoxin | rev | [2580581..2580925]	2388 | SA597_2388 | . | Thioredoxin | rev | [2536979..2537323]	2605 | K8B78_13430 | . | thioredoxin family protein | rev | [2686839..2687195]	2292 | HMPRNC0000_2814 | . | Thioredoxin | rev | [2590816..2591160]
2888	2436 | SA150_2436 | . | hypothetical protein | rev | [2580967..2581377]	2389 | SA597_2389 | . | hypothetical protein | rev | [2537365..2537775]	2606 | K8B78_13435 | . | acyl-CoA thioesterase | rev | [2687237..2687647]	2293 | HMPRNC0000_2815 | . | hypothetical protein | rev | [2591202..2591612]
2890	2437 | SA150_2437 | . | PTS system, glucose-specific IIC component / PTS system, glucose-specific IIB component (EC 2.7.1.199) / PTS system, glucose-specific IIA component (EC 2.7.1.199) | rev | [2581757..2583856]	2390 | SA597_2390 | . | PTS system, glucose-specific IIC component / PTS system, glucose-specific IIB component (EC 2.7.1.199) / PTS system, glucose-specific IIA component (EC 2.7.1.199) | rev | [2538155..2540278]	2607 | K8B78_13440 | ptsG | glucose-specific PTS transporter subunit IIBC | rev | [2688027..2690093]	2294 | HMPRNC0000_2816 | ptsG | PTS system, glucose-specific IIC/IIB/IIA component | rev | [2591978..2594077]
2891	2438 | SA150_2438 | . | Pyruvate dehydrogenase (quinone) (EC 1.2.5.1) @ Pyruvate oxidase, CidC | rev | [2584124..2585863]	2391 | SA597_2391 | . | Pyruvate dehydrogenase (quinone) (EC 1.2.5.1) @ Pyruvate oxidase, CidC | rev | [2540521..2542260]	2608 | K8B78_13445 | . | pyruvate oxidase | rev | [2690393..2692132]	2295 | HMPRNC0000_2817 | spxB | Pyruvate dehydrogenase (quinone) and Pyruvate oxidase, CidC | rev | [2594345..2596084]
2892	2439 | SA150_2439 | . | CidA-associated membrane protein CidB | rev | [2585910..2586599]	2392 | SA597_2392 | . | CidA-associated membrane protein CidB | rev | [2542300..2542989]	2609 | K8B78_13450 | . | LrgB family protein | rev | [2692172..2692861]	2296 | HMPRNC0000_2818 | . | CidA-associated membrane protein CidB | rev | [2596131..2596820]
2893	2440 | SA150_2440 | . | Holin-like protein CidA | rev | [2586592..2586987]	2393 | SA597_2393 | . | Holin-like protein CidA | rev | [2542982..2543377]	2610 | K8B78_13455 | cidA | holin-like murein hydrolase modulator CidA | rev | [2692854..2693249]	2297 | HMPRNC0000_2819 | cidA | Holin-like protein CidA | rev | [2596813..2597208]
2894	2441 | SA150_2441 | . | Transcriptional regulator CidR, LysR family | rev | [2587200..2588078]	2394 | SA597_2394 | . | Transcriptional regulator CidR, LysR family | rev | [2543592..2544470]	2611 | K8B78_13460 | . | LysR family transcriptional regulator | rev | [2693463..2694341]	2298 | HMPRNC0000_2820 | . | LysR family regulatory protein CidR | rev | [2597421..2598299]
2895	2442 | SA150_2442 | . | hypothetical protein | dir | [2588245..2588463]	2395 | SA597_2395 | . | hypothetical protein | dir | [2544637..2544855]	2612 | K8B78_13465 | . | sterile alpha motif-like domain-containing protein | dir | [2694508..2694726]	2299 | HMPRNC0000_2821 | . | hypothetical protein | dir | [2598466..2598684]
2896	2443 | SA150_2443 | . | Secretory antigen SsaA | dir | [2588853..2589284]	2396 | SA597_2396 | . | Secretory antigen SsaA | dir | [2545243..2545674]	2613 | K8B78_13470 | . | CHAP domain-containing protein | dir | [2695114..2695545]	2300 | HMPRNC0000_2822 | amiD3 | Secretory antigen SsaA | dir | [2599073..2599504]
2897	2444 | SA150_2444 | . | Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34) | rev | [2589424..2590701]	2397 | SA597_2397 | . | Hydroxymethylglutaryl-CoA reductase (EC 1.1.1.34) | rev | [2545814..2547094]	2614 | K8B78_13475 | . | hydroxymethylglutaryl-CoA reductase, degradative | rev | [2695685..2696965]	2301 | HMPRNC0000_2823 | . | Hydroxymethylglutaryl-CoA reductase | rev | [2599642..2600922]
2899	2446 | SA150_2446 | . | Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) | rev | [2592291..2592812]	2399 | SA597_2399 | . | Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) | rev | [2548686..2549207]	2616 | K8B78_13485 | . | methylated-DNA--[protein]-cysteine S-methyltransferase | rev | [2698557..2699078]	2303 | HMPRNC0000_2826 | ogt | Methylated-DNA--protein-cysteine methyltransferase | rev | [2602507..2603028]
2900	2447 | SA150_2447 | . | ClpE-like protein | dir | [2593221..2595326]	2400 | SA597_2400 | . | ClpE-like protein | dir | [2549570..2551678]	2617 | K8B78_13490 | clpL | ATP-dependent Clp protease ATP-binding subunit ClpL | dir | [2699441..2701546]	2304 | HMPRNC0000_2828 | clpL | ClpE family protein | dir | [2603437..2605542]
2901	2448 | SA150_2448 | . | hypothetical protein | rev | [2595395..2595565]	2401 | SA597_2401 | . | hypothetical protein | rev | [2551745..2551915]	2618 | K8B78_13495 | . | FeoB-associated Cys-rich membrane protein | rev | [2701616..2701786]	2305 | HMPRNC0000_2829 | . | hypothetical protein | rev | [2605604..2605774]
2903	2450 | SA150_2450 | . | Ferrous iron transporter-associated protein FeoA | rev | [2597584..2597811]	2403 | SA597_2403 | . | Ferrous iron transporter-associated protein FeoA | rev | [2553934..2554161]	2620 | K8B78_13505 | . | ferrous iron transport protein A | rev | [2703805..2704032]	2306 | HMPRNC0000_2830 | . | Ferrous iron transport protein A | rev | [2607792..2608019]
2904	2451 | SA150_2451 | . | Putative antibiotic transport-associated protein | rev | [2598027..2600516]	2404 | SA597_2404 | . | Putative antibiotic transport-associated protein | rev | [2554377..2556866]	2621 | K8B78_13510 | farE | fatty acid efflux MMPL transporter FarE | rev | [2704247..2706736]	2307 | HMPRNC0000_2831 | ydfJ | Putative antibiotic transport-associated protein | rev | [2608235..2610724]
2905	2452 | SA150_2452 | . | Transcriptional regulator, AcrR family | dir | [2600661..2601209]	2405 | SA597_2405 | . | Transcriptional regulator, AcrR family | dir | [2557011..2557559]	2622 | K8B78_13515 | farR | fatty acid efflux pump transcriptional regulator FarR | dir | [2706881..2707429]	2308 | HMPRNC0000_2833 | . | Transcriptional regulator, AcrR family | dir | [2610869..2611417]
2907	2454 | SA150_2454 | . | Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.2.1.88) | rev | [2601565..2603109]	2407 | SA597_2407 | . | Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.2.1.88) | rev | [2557915..2559459]	2624 | K8B78_13525 | pruA | L-glutamate gamma-semialdehyde dehydrogenase | rev | [2707785..2709329]	2309 | HMPRNC0000_2834 | rocA | Delta-1-pyrroline-5-carboxylate dehydrogenase | rev | [2611773..2613317]
2911	2456 | SA150_2456 | . | Hypothetical protein FIG016047 | dir | [2604137..2604328]	2409 | SA597_2409 | . | Hypothetical protein FIG016047 | dir | [2560490..2560681]	2626 | K8B78_13535 | cwrA | cell wall inhibition responsive protein CwrA | dir | [2710357..2710548]	2311 | HMPRNC0000_2836 | . | Hypothetical protein | dir | [2614345..2614536]
2912	2457 | SA150_2457 | . | Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4) | dir | [2604568..2606976]	2410 | SA597_2410 | . | Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4) | dir | [2560921..2563329]	642 | K8B78_03325 | cadA | cadmium-translocating P-type ATPase CadA | rev | [707966..710146]	30 | HMPRNC0000_0035 | cadA | Cadmium-transporting ATPase | dir | [41375..43789]
2913	2458 | SA150_2458 | . | Copper(I) chaperone CopZ | dir | [2607325..2607531]	2411 | SA597_2411 | . | Copper(I) chaperone CopZ | dir | [2563955..2564161]	2628 | K8B78_13545 | copZ | copper chaperone CopZ | dir | [2713948..2714154]	2313 | HMPRNC0000_2839 | copZ | Copper(I) chaperone CopZ | dir | [2617603..2617809]
2914	2459 | SA150_2459 | . | D-specific D-2-hydroxyacid dehydrogenase ddh homolog (EC 1.1.1.28) | rev | [2607621..2608619]	2412 | SA597_2412 | . | D-specific D-2-hydroxyacid dehydrogenase ddh homolog (EC 1.1.1.28) | rev | [2564251..2565249]	2629 | K8B78_13550 | . | D-lactate dehydrogenase | rev | [2714244..2715242]	2314 | HMPRNC0000_2840 | ldhD2 | D-specific D-2-hydroxyacid dehydrogenase ddh | rev | [2617899..2618897]
2915	2460 | SA150_2460 | . | N-succinyldiaminopimelate aminotransferase (EC 2.6.1.17) | rev | [2608642..2609796]	2413 | SA597_2413 | . | N-succinyldiaminopimelate aminotransferase (EC 2.6.1.17) | rev | [2565272..2566426]	2630 | K8B78_13555 | . | aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme | rev | [2715265..2716419]	2315 | HMPRNC0000_2841 | ywfG | N-succinyldiaminopimelate aminotransferase | rev | [2618920..2620074]
2916	2461 | SA150_2461 | . | Dehydrosqualene desaturase (EC 1.3.8.2) | rev | [2610223..2611731]	2414 | SA597_2414 | . | Dehydrosqualene desaturase (EC 1.3.8.2) | rev | [2566853..2568361]	2631 | K8B78_13560 | crtI | phytoene desaturase | rev | [2716846..2718354]	2316 | HMPRNC0000_2842 | crtN | Dehydrosqualene desaturase | rev | [2620501..2622009]
2918	2462 | SA150_2462 | . | Dehydrosqualene synthase (EC 2.5.1.96) | rev | [2611743..2612606]	2415 | SA597_2415 | . | Dehydrosqualene synthase (EC 2.5.1.96) | rev | [2568373..2569236]	2632 | K8B78_13565 | . | phytoene/squalene synthase family protein | rev | [2718366..2719229]	2317 | HMPRNC0000_2843 | crtM | Dehydrosqualene synthase | rev | [2622021..2622884]
2919	2463 | SA150_2463 | . | 4,4'-diaponeurosporenoate glycosyltransferase (EC 2.4.1.-) | rev | [2612643..2613770]	2416 | SA597_2416 | . | 4,4'-diaponeurosporenoate glycosyltransferase (EC 2.4.1.-) | rev | [2569273..2570400]	2633 | K8B78_13570 | crtQ | 4,4'-diaponeurosporenoate glycosyltransferase | rev | [2719266..2720393]	2318 | HMPRNC0000_2844 | . | 4,4'-diaponeurosporenoate glycosyltransferase | rev | [2622921..2624048]
2920	2464 | SA150_2464 | . | Diapolycopene oxygenase (EC 1.14.99.44) | rev | [2613776..2615269]	2417 | SA597_2417 | . | Diapolycopene oxygenase (EC 1.14.99.44) | rev | [2570406..2571899]	2634 | K8B78_13575 | . | NAD(P)/FAD-dependent oxidoreductase | rev | [2720399..2721892]	2319 | HMPRNC0000_2846 | crtI | Diapolycopene oxygenase | rev | [2624054..2625547]
2922	2465 | SA150_2465 | . | Glycosyl-4,4'-diaponeurosporenoate acyltransferase precursor (EC 2.3.1.-) | rev | [2615262..2615759]	2418 | SA597_2418 | . | Glycosyl-4,4'-diaponeurosporenoate acyltransferase precursor (EC 2.3.1.-) | rev | [2571892..2572389]	2635 | K8B78_13580 | crtO | glycosyl-4,4'-diaponeurosporenoate acyltransferase | rev | [2721885..2722373]	2320 | HMPRNC0000_2847 | . | Glycosyl-4,4'-diaponeurosporenoate acyltransferase precursor | rev | [2625540..2626037]
2923	2466 | SA150_2466 | . | Secretory antigen precursor SsaA | rev | [2615925..2616692]	2419 | SA597_2419 | . | Secretory antigen precursor SsaA | rev | [2572555..2573292]	2636 | K8B78_13585 | . | CHAP domain-containing protein | rev | [2722560..2723327]	2321 | HMPRNC0000_2848 | ssaA3 | Secretory antigen precursor SsaA | rev | [2626203..2626970]
2924	2467 | SA150_2467 | . | Acyltransferase | rev | [2617053..2618864]	2420 | SA597_2420 | . | Acyltransferase | rev | [2573654..2575465]	2637 | K8B78_13590 | . | acetyltransferase | rev | [2723688..2725499]	2322 | HMPRNC0000_2849 | . | Acyltransferase | rev | [2627331..2629142]
2927	2469 | SA150_2469 | . | Immunodominant staphylococcal antigen A precursor | rev | [2620270..2620971]	2422 | SA597_2422 | . | Immunodominant staphylococcal antigen A precursor | rev | [2576735..2577436]	2638 | K8B78_13595 | isaA | lytic transglycosylase IsaA | rev | [2726186..2726887]	2324 | HMPRNC0000_2852 | isaA | immunodominant antigen A precursor | rev | [2630417..2631118]
2928	2470 | SA150_2470 | . | Membrane protein | rev | [2621579..2622634]	2423 | SA597_2423 | . | Membrane protein | rev | [2578067..2579122]	2639 | K8B78_13600 | . | PTS transporter subunit IIC | rev | [2727495..2728550]	2325 | HMPRNC0000_2853 | . | Membrane protein | rev | [2631726..2632781]
2930	2472 | SA150_2472 | . | Transcriptional regulator, AcrR family | dir | [2623026..2623613]	2425 | SA597_2425 | . | Transcriptional regulator, AcrR family | dir | [2579516..2580103]	2641 | K8B78_13610 | . | TetR/AcrR family transcriptional regulator | dir | [2728961..2729530]	2327 | HMPRNC0000_2855 | . | Transcriptional regulator, AcrR family | dir | [2633173..2633760]
2931	2473 | SA150_2473 | . | hypothetical protein | dir | [2623991..2624290]	2426 | SA597_2426 | . | hypothetical protein | dir | [2580481..2580801]	2642 | K8B78_13615 | . | hypothetical protein | dir | [2729728..2730228]	2328 | HMPRNC0000_2856 | . | hypothetical protein | dir | [2634138..2634458]
2932	2474 | SA150_2474 | . | hypothetical protein | dir | [2624531..2624761]	2427 | SA597_2427 | . | hypothetical protein | dir | [2581021..2581251]	2643 | K8B78_13620 | . | DUF896 domain-containing protein | dir | [2730448..2730678]	2329 | HMPRNC0000_2857 | . | hypothetical protein | dir | [2634678..2634908]
2935	2477 | SA150_2477 | . | hypothetical protein | rev | [2626159..2626458]	2430 | SA597_2430 | . | hypothetical protein | rev | [2582648..2582947]	2646 | K8B78_13635 | . | DUF2316 family protein | rev | [2732075..2732374]	2331 | HMPRNC0000_2860 | . | hypothetical protein | rev | [2636547..2636846]
2937	2479 | SA150_2479 | . | Short-chain dehydrogenase | dir | [2627139..2627843]	2432 | SA597_2432 | . | Short-chain dehydrogenase | dir | [2583628..2584332]	2648 | K8B78_13645 | . | SDR family NAD(P)-dependent oxidoreductase | dir | [2733055..2733759]	2333 | HMPRNC0000_2862 | . | Short-chain dehydrogenase | dir | [2637528..2638232]
2940	2481 | SA150_2481 | . | Predicted hydrolase/acyltransferase | dir | [2628971..2629801]	2434 | SA597_2434 | . | Predicted hydrolase/acyltransferase | dir | [2585460..2586290]	2650 | K8B78_13655 | . | alpha/beta hydrolase | dir | [2734887..2735717]	2335 | HMPRNC0000_2865 | . | putative hydrolase/acyltransferase | dir | [2639349..2640179]
2941	2482 | SA150_2482 | . | Metal chaperone, involved in Zn homeostasis | rev | [2629948..2630838]	2435 | SA597_2435 | . | Metal chaperone, involved in Zn homeostasis | rev | [2586437..2587327]	2651 | K8B78_13660 | . | GTP-binding protein | rev | [2735864..2736754]	2336 | HMPRNC0000_2866 | . | Metal chaperone, involved in Zn homeostasis | rev | [2640283..2641215]
2943	2484 | SA150_2484 | . | FIG016210: probable monooxygenase | rev | [2632269..2633375]	2438 | SA597_2438 | . | FIG016210: probable monooxygenase | rev | [2588762..2589868]	2653 | K8B78_13670 | . | NAD(P)-binding domain-containing protein | rev | [2738188..2739294]	2338 | HMPRNC0000_2868 | . | putative monooxygenase | rev | [2642646..2643752]
2945	2485 | SA150_2485 | . | Repetitive hypothetical protein in ESAT cluster, COG4495 | rev | [2633670..2633966]	2439 | SA597_2439 | . | Repetitive hypothetical protein in ESAT cluster, COG4495 | rev | [2590203..2590499]	2654 | K8B78_13675 | . | DUF4176 domain-containing protein | rev | [2739627..2739923]	2339 | HMPRNC0000_2870 | . | Repetitive hypothetical protein in ESAT cluster | rev | [2644047..2644343]
2947	2487 | SA150_2487 | . | hypothetical protein | rev | [2634686..2635051]	2440 | SA597_2440 | . | hypothetical protein | rev | [2590487..2590858]	2655 | K8B78_13680 | . | hypothetical protein | rev | [2739911..2740279]	2340 | HMPRNC0000_2872 | . | hypothetical protein | rev | [2644331..2644702]
2948	2488 | SA150_2488 | . | hypothetical protein | rev | [2635063..2635341]	2441 | SA597_2441 | . | hypothetical protein | rev | [2590870..2591148]	2656 | K8B78_13685 | . | TIGR04197 family type VII secretion effector | rev | [2740294..2740572]	2341 | HMPRNC0000_2873 | . | hypothetical protein | rev | [2644714..2644992]
2949	2489 | SA150_2489 | . | Ribulosamine/erythrulosamine 3-kinase potentially involved in protein deglycation | rev | [2635678..2636544]	2442 | SA597_2442 | . | Ribulosamine/erythrulosamine 3-kinase potentially involved in protein deglycation | rev | [2591488..2592354]	2657 | K8B78_13690 | . | fructosamine kinase family protein | rev | [2740909..2741775]	2342 | HMPRNC0000_2874 | . | Ribulosamine/erythrulosamine 3-kinase potentially involved in protein deglycation | rev | [2645334..2646200]
2951	2490 | SA150_2490 | . | Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) | dir | [2636762..2637826]	2443 | SA597_2443 | . | Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) | dir | [2592572..2593636]	2658 | K8B78_13695 | . | quinone-dependent dihydroorotate dehydrogenase | dir | [2741993..2743057]	2343 | HMPRNC0000_2876 | pyrD | Dihydroorotate dehydrogenase (quinone) | dir | [2646418..2647482]
2953	2491 | SA150_2491 | . | hypothetical protein | dir | [2637981..2638256]	2444 | SA597_2444 | . | hypothetical protein | dir | [2593791..2594066]	2659 | K8B78_13700 | . | hypothetical protein | dir | [2743212..2743487]	2344 | HMPRNC0000_2877 | . | hypothetical protein | dir | [2647637..2647912]
2954	2492 | SA150_2492 | . | Epoxyqueuosine reductase (EC 1.17.99.6) QueH | rev | [2638442..2639164]	2445 | SA597_2445 | . | Epoxyqueuosine reductase (EC 1.17.99.6) QueH | rev | [2594252..2594974]	2660 | K8B78_13705 | . | epoxyqueuosine reductase QueH | rev | [2743673..2744395]	2345 | HMPRNC0000_2878 | . | Diacylglucosamine hydrolase like | rev | [2648098..2648820]
